trial,metric,soln,asian,black,hispanic,white
3,tpr,unconst,27.542842213185256,36.14740677332094,27.542842213185256,29.89070154040238
3,tpr,maxmin,1.4238444624191284,1.423662398176648,1.423662398176648,4.27080300541532
3,tpr,fullrep,27.047791662672093,37.06119759420245,23.02583884484771,23.02583884484771
3,fpr,lexi,9.828833707937397,3.301657690694319,3.301657690694319,3.377794508727617
3,fpr,unconst,34.61566621458513,28.659780625272525,16.41702675880282,16.41702675880282
3,fpr,maxmin,3.643300340360116,3.6433002951857985,3.6433002951857985,10.929898572299239
3,fpr,fullrep,29.37663856565541,41.06517232872083,29.37663856565541,35.84874740919282
4,tpr,lexi,4.002148227413936,1.3359125346127552,1.3359125346127552,1.3414998692182916
4,tpr,unconst,27.44535962466679,34.37567928646312,27.44535962466679,30.144428993551426
4,tpr,maxmin,1.6213201610364318,1.620600734913064,1.620600734913064,4.8610806383347365
4,tpr,fullrep,30.9560563815288,47.263453732909895,25.2937140607301,25.2937140607301
4,fpr,lexi,4.298177031003152,1.4433543179440373,1.4433543179440373,1.4752374726870439
4,fpr,unconst,27.210694395412727,23.10135656777354,15.308156890899049,15.308156890899049
4,fpr,maxmin,1.8528913692590112,1.8528913692590112,1.8528914947265196,5.558671876668078
4,fpr,fullrep,26.82673058064205,45.36789236370734,26.82673058064205,29.753789635889397
5,tpr,lexi,7.19599572822069,2.485666801834692,2.485666801834692,2.7466694013361588
5,tpr,unconst,27.223037098681548,40.746535106050516,27.223037098681548,31.405919171401738
5,tpr,maxmin,2.4079321599035124,2.2016003240346746,2.2016003240346746,6.398467115865233
5,tpr,fullrep,29.196696664879983,38.7007747721578,24.233822369721526,24.233822369721526
5,fpr,lexi,9.788985140023863,3.442977619909878,3.442977619909878,3.9829232881454955
5,fpr,unconst,26.635389430079144,21.55363696016476,14.23924302077082,14.23924302077082
5,fpr,maxmin,3.7048871670186676,3.70488717244342,3.7048871670186676,11.114659298734912
5,fpr,fullrep,28.029309304246794,46.32164442011131,28.029309304246794,34.60120794395641
6,tpr,lexi,5.133940262906246,1.985005220447955,1.985005220447955,2.806078112893199
6,tpr,unconst,29.87078211161464,41.947308865254264,29.87078211161464,34.020769701587334
6,tpr,maxmin,2.1761104701354155,2.1042338560282188,2.1042338560282188,6.240822953071176
6,tpr,fullrep,28.483596529475964,40.91657285455079,24.144498738460815,24.144498738460815
6,fpr,lexi,2.8271008832374838,1.244712071972457,1.244712071972457,2.151745326607382
6,fpr,unconst,20.970158826955124,17.65953256392829,12.557201752233341,12.557201752233341
6,fpr,maxmin,1.487525010932958,1.4875249434149846,1.4875249434149846,4.462572236212483
6,fpr,fullrep,33.232661117457525,55.40747199457877,33.232661117457525,35.86230412945348
7,tpr,lexi,9.958603226902364,3.375313926984073,3.375313926984073,3.5426499685757546
7,tpr,unconst,24.603790856866777,37.59193900501493,24.603790856866777,31.361942961172726
7,tpr,maxmin,5.34498820329249,3.2660582416588992,3.2660582416588992,7.719242743460216
7,tpr,fullrep,33.611550993216674,36.19511767345002,27.584994216659904,27.584994216659904
7,fpr,lexi,26.228451820958416,8.774013702554244,8.774013702554244,8.86759942799968
7,fpr,unconst,38.688508423646255,25.297659584258888,19.09627307279021,19.09627307279021
7,fpr,maxmin,6.755966375503983,6.755966194170401,6.755966194170401,20.267896271520055
7,fpr,fullrep,25.13298498361527,40.24781437994073,25.13298498361527,38.528933862322766
8,tpr,lexi,2.3842117274465933,0.897608599355105,0.897608599355105,1.2062203231954622
8,tpr,unconst,26.220545364782506,40.84719319905745,26.220545364782506,28.70985055607346
8,tpr,maxmin,2.3247561960573533,1.434951642911616,1.434951642911616,3.4150483075528824
8,tpr,fullrep,28.21981927870952,37.115150041551935,24.459076595224243,24.459076595224243
8,fpr,lexi,0.13029702194227508,0.09064544075096034,0.09064544075096034,0.23228264137368523
8,fpr,unconst,9.445954488202721,14.32661068869258,9.433384655800486,9.433384655800486
8,fpr,maxmin,0.20574668077433142,0.19790930932532444,0.19790930932532444,0.5858884411603488
8,fpr,fullrep,37.264304020854055,54.52737349411727,32.174836390226375,32.174836390226375
9,tpr,lexi,11.565077700897719,3.861326261235379,3.861326261235379,3.880224919410611
